Product ID,Customer ID,Rating,Review Text
PROD274,CUST7329,4,Customer service was unhelpful.
PROD659,CUST7815,4,"Very easy to use, beginner-friendly."
PROD945,CUST1531,5,Would definitely buy again.
PROD773,CUST6319,3,Product does not match the description.
PROD737,CUST6654,3,"Battery life is very short, not as advertised."
PROD881,CUST7075,1,"The instructions were unclear, difficult to set up."
PROD172,CUST9308,5,Product does not match the description.
PROD215,CUST1846,5,"Not what I ordered, very disappointed."
PROD927,CUST7881,5,"Perfect gift for my friend, they loved it!"
PROD921,CUST7299,1,Would definitely buy again.
PROD704,CUST9969,3,"Not satisfied, poor quality."
PROD181,CUST5045,2,Product does not match the description.
PROD726,CUST1729,4,"Arrived damaged, had to request a replacement."
PROD503,CUST3189,4,Highly recommended for anyone looking for this.
PROD491,CUST2841,5,"Not satisfied, poor quality."
PROD191,CUST9819,4,Highly recommended for anyone looking for this.
PROD778,CUST7159,1,"Great product, works as expected!"
PROD312,CUST6078,2,"Battery life is very short, not as advertised."
PROD540,CUST9078,5,Would definitely buy again.
PROD183,CUST9545,2,"Shipping took too long, not satisfied."
PROD373,CUST4609,5,"Very easy to use, beginner-friendly."
PROD929,CUST7564,4,Customer service was unhelpful.
PROD574,CUST9041,2,"Shipping took too long, not satisfied."
PROD904,CUST7209,4,Amazing value for money!
PROD184,CUST8978,2,Amazing value for money!
PROD951,CUST5985,1,"Fantastic build quality, feels premium."
PROD253,CUST9987,3,Product does not match the description.
PROD261,CUST2272,3,Product does not match the description.
PROD226,CUST4589,5,"Battery life is very short, not as advertised."
PROD959,CUST3631,2,The item stopped working after a week.
PROD311,CUST3214,2,Amazing value for money!
PROD901,CUST2932,2,"Perfect gift for my friend, they loved it!"
PROD872,CUST8023,1,"Not satisfied, poor quality."
PROD741,CUST3777,2,"Not what I ordered, very disappointed."
PROD710,CUST1285,2,"Not what I ordered, very disappointed."
PROD978,CUST9478,4,"Perfect gift for my friend, they loved it!"
PROD274,CUST6082,4,Highly recommended for anyone looking for this.
PROD379,CUST8828,4,"Better than expected, great performance."
PROD203,CUST8919,1,"Not satisfied, poor quality."
PROD224,CUST8898,3,Product does not match the description.
PROD127,CUST3844,3,"Better than expected, great performance."
PROD694,CUST2573,2,"Better than expected, great performance."
PROD541,CUST4317,1,"Better than expected, great performance."
PROD999,CUST8626,4,Product does not match the description.
PROD318,CUST1616,2,"Arrived damaged, had to request a replacement."
PROD636,CUST9697,3,Amazing value for money!
PROD938,CUST6862,2,Fast delivery and excellent packaging.
PROD988,CUST2678,5,"Not satisfied, poor quality."
PROD246,CUST5608,1,Customer service was unhelpful.
PROD558,CUST6236,1,"The instructions were unclear, difficult to set up."
PROD380,CUST2694,3,Sound quality is below average.
PROD822,CUST9939,4,Customer service was unhelpful.
PROD475,CUST5260,3,Amazing value for money!
PROD583,CUST1426,5,"Fantastic build quality, feels premium."
PROD410,CUST3819,4,"Battery life is very short, not as advertised."
PROD326,CUST4451,1,Too expensive for the quality provided.
PROD733,CUST9770,5,Amazing value for money!
PROD123,CUST9932,5,"The instructions were unclear, difficult to set up."
PROD694,CUST6606,1,Product does not match the description.
PROD681,CUST3167,1,"Fantastic build quality, feels premium."
PROD441,CUST3687,4,"Perfect gift for my friend, they loved it!"
PROD717,CUST3999,3,"Arrived damaged, had to request a replacement."
PROD999,CUST1684,1,The item stopped working after a week.
PROD354,CUST4443,5,"The instructions were unclear, difficult to set up."
PROD584,CUST7620,4,Highly recommended for anyone looking for this.
PROD903,CUST2126,1,Sound quality is below average.
PROD976,CUST9781,1,The item stopped working after a week.
PROD478,CUST1975,3,Too expensive for the quality provided.
PROD438,CUST5183,5,The item stopped working after a week.
PROD131,CUST8633,1,"Fantastic build quality, feels premium."
PROD848,CUST1269,3,"Arrived damaged, had to request a replacement."
PROD758,CUST5699,2,"The instructions were unclear, difficult to set up."
PROD158,CUST5424,2,"The instructions were unclear, difficult to set up."
PROD802,CUST2095,5,The item stopped working after a week.
PROD300,CUST5914,2,"Very easy to use, beginner-friendly."
PROD834,CUST8982,2,Customer service was unhelpful.
PROD561,CUST2844,4,Highly recommended for anyone looking for this.
PROD482,CUST4194,1,"Very easy to use, beginner-friendly."
PROD708,CUST6622,2,Would definitely buy again.
PROD137,CUST9994,3,"Not what I ordered, very disappointed."
PROD982,CUST9132,4,"Better than expected, great performance."
PROD413,CUST1124,1,"Great product, works as expected!"
PROD608,CUST3474,5,"Great product, works as expected!"
PROD365,CUST2285,4,"Arrived damaged, had to request a replacement."
PROD317,CUST5858,1,Too expensive for the quality provided.
PROD426,CUST5179,3,"Not what I ordered, very disappointed."
PROD354,CUST2506,2,Would definitely buy again.
PROD779,CUST8445,2,Too expensive for the quality provided.
PROD195,CUST5662,3,"Very easy to use, beginner-friendly."
PROD714,CUST8483,3,Sound quality is below average.
PROD652,CUST1067,2,"Not satisfied, poor quality."
PROD389,CUST1852,1,"Not what I ordered, very disappointed."
PROD797,CUST3244,3,"The instructions were unclear, difficult to set up."
PROD767,CUST4916,1,"Fantastic build quality, feels premium."
PROD332,CUST2643,1,Product does not match the description.
PROD197,CUST1955,2,Fast delivery and excellent packaging.
PROD793,CUST9746,5,Amazing value for money!
PROD548,CUST5252,3,Would definitely buy again.
PROD527,CUST2846,4,Would definitely buy again.
PROD547,CUST5524,1,"Better than expected, great performance."
PROD712,CUST6010,4,"Battery life is very short, not as advertised."
PROD802,CUST5845,5,"Shipping took too long, not satisfied."
PROD516,CUST6110,2,The item stopped working after a week.
PROD567,CUST8304,5,Customer service was unhelpful.
PROD617,CUST7466,2,"Arrived damaged, had to request a replacement."
PROD316,CUST1322,5,"Perfect gift for my friend, they loved it!"
PROD653,CUST1594,3,"Not what I ordered, very disappointed."
PROD359,CUST6440,1,Customer service was unhelpful.
PROD479,CUST3273,4,"Great product, works as expected!"
PROD277,CUST5669,2,The item stopped working after a week.
PROD384,CUST3776,3,Too expensive for the quality provided.
PROD397,CUST3136,2,Customer service was unhelpful.
PROD821,CUST1996,2,"Great product, works as expected!"
PROD608,CUST3626,3,"Arrived damaged, had to request a replacement."
PROD167,CUST8532,1,The item stopped working after a week.
PROD986,CUST3057,2,"Very easy to use, beginner-friendly."
PROD573,CUST6538,2,The item stopped working after a week.
PROD152,CUST7550,5,Customer service was unhelpful.
PROD197,CUST1639,3,Customer service was unhelpful.
PROD559,CUST9360,4,Sound quality is below average.
PROD714,CUST9393,4,Fast delivery and excellent packaging.
PROD216,CUST2013,3,"Shipping took too long, not satisfied."
PROD876,CUST8487,5,"Better than expected, great performance."
PROD354,CUST8735,1,"Fantastic build quality, feels premium."
PROD786,CUST4153,1,The item stopped working after a week.
PROD152,CUST3681,3,"Great product, works as expected!"
PROD586,CUST1485,2,"Very easy to use, beginner-friendly."
PROD304,CUST8875,5,Product does not match the description.
PROD164,CUST7599,5,Would definitely buy again.
PROD926,CUST2343,4,Highly recommended for anyone looking for this.
PROD279,CUST5492,5,Customer service was unhelpful.
PROD875,CUST9752,2,Amazing value for money!
PROD632,CUST4666,1,Highly recommended for anyone looking for this.
PROD210,CUST2007,2,Too expensive for the quality provided.
PROD390,CUST6705,5,Customer service was unhelpful.
PROD637,CUST5022,5,"Perfect gift for my friend, they loved it!"
PROD295,CUST5918,3,Highly recommended for anyone looking for this.
PROD318,CUST6963,1,Too expensive for the quality provided.
PROD539,CUST7346,5,Product does not match the description.
PROD234,CUST2597,1,"Not what I ordered, very disappointed."
PROD113,CUST2599,1,"Perfect gift for my friend, they loved it!"
PROD468,CUST1774,3,Customer service was unhelpful.
PROD940,CUST4300,5,Fast delivery and excellent packaging.
PROD331,CUST3318,4,Too expensive for the quality provided.
PROD433,CUST3191,3,"The instructions were unclear, difficult to set up."
PROD509,CUST1802,4,"Fantastic build quality, feels premium."
PROD506,CUST2851,2,Highly recommended for anyone looking for this.
PROD253,CUST5229,4,The item stopped working after a week.
PROD949,CUST8839,4,Amazing value for money!
PROD120,CUST1508,3,Product does not match the description.
PROD327,CUST4416,2,"Very easy to use, beginner-friendly."
PROD841,CUST1551,5,"Very easy to use, beginner-friendly."
PROD964,CUST2981,1,Fast delivery and excellent packaging.
PROD833,CUST6208,4,Would definitely buy again.
PROD591,CUST3223,1,Product does not match the description.
PROD978,CUST1793,4,Sound quality is below average.
PROD234,CUST6479,4,"Not satisfied, poor quality."
PROD525,CUST9365,4,"Shipping took too long, not satisfied."
PROD257,CUST6225,5,"Battery life is very short, not as advertised."
PROD694,CUST9319,1,"Not what I ordered, very disappointed."
PROD197,CUST7615,1,The item stopped working after a week.
PROD793,CUST4850,2,"Not what I ordered, very disappointed."
PROD830,CUST8841,3,Highly recommended for anyone looking for this.
PROD620,CUST8446,1,"Very easy to use, beginner-friendly."
PROD963,CUST8095,1,"Not satisfied, poor quality."
PROD838,CUST3129,5,Product does not match the description.
PROD669,CUST1599,4,Product does not match the description.
PROD616,CUST5253,5,"Better than expected, great performance."
PROD444,CUST4045,4,Customer service was unhelpful.
PROD545,CUST8954,2,The item stopped working after a week.
